lendylongli/qianghongbao,1541,0
Trinea/android-auto-scroll-view-pager,1540,39
zouzg/mybatis-generator-gui,1538,0
Rukey7/MvpApp,1538,0
niorgai/StatusBarCompat,1536,0
pwnall/chromeview,1535,0
brianway/java-learning,1533,0
kanytu/android-parallax-recyclerview,1532,0
dodola/HotFix,1531,0
alexvasilkov/FoldableLayout,1530,0
Luosunce/material-design-data,1525,0
aragozin/jvm-tools,1521,38
ICT-BDA/EasyML,1521,0
square/assertj-android,1520,478
react-native-community/react-native-linear-gradient,1517,0
Kaopiz/android-segmented-control,1516,0
redsolution/xabber-android,1516,434
stfalcon-studio/ChatKit,1513,0
l123456789jy/Lazy,1512,0
Netflix/archaius,1511,232
Tibolte/ElasticDownload,1510,0
gre/gl-react-native-v2,1510,0
jaredrummler/AnimatedSvgView,1509,0
azkaban/azkaban,1508,3254
kabouzeid/Phonograph,1505,0
iSoron/uhabits,1504,32
FasterXML/jackson-databind,1504,2500
twosigma/beakerx,1501,6320
tiann/understand-plugin-framework,1498,0
woxingxiao/BubbleSeekBar,1498,0
dinuscxj/RecyclerRefreshLayout,1497,0
xmuSistone/AndroidPileLayout,1495,0
linger1216/labelview,1495,0
Athou/commafeed,1493,346
felipecsl/AsymmetricGridView,1492,0
pzxwhc/MineKnowContainer,1491,0
airbnb/AirMapView,1490,330
alexvasilkov/GestureViews,1490,19
pwittchen/ReactiveNetwork,1489,891
lawloretienne/QuickReturn,1489,0
mybatis/spring-boot-starter,1488,460
gotev/android-upload-service,1487,325
Kelin-Hong/ScrollablePanel,1485,0
groovy/groovy-core,1484,0
MostafaGazar/CustomShapeImageView,1480,31
timusus/Shuttle,1478,591
Froussios/Intro-To-RxJava,1478,0
frogermcs/LikeAnimation,1474,0
yingLanNull/ShadowImageView,1473,0
Krupen/FabulousFilter,1469,0
mancj/SlideUp-Android,1468,0
apache/incubator-pulsar,1468,2079
google/google-java-format,1467,461
byoutline/kickmaterial,1466,266
pbreault/adb-idea,1465,0
LyndonChin/AndroidRubberIndicator,1465,0
apache/nutch,1465,0
eoinfogarty/Onboarding,1464,0
yydcdut/PhotoNoter,1463,324
MatthiasRobbers/shortbread,1462,0
cSploit/android,1460,0
harism/android_page_curl,1460,0
mcxtzhang/ZLayoutManager,1458,0
zzz40500/android-shapeLoadingView,1457,0
apache/jmeter,1455,3352
ImmortalZ/TransitionHelper,1454,0
dodola/RocooFix,1453,0
joyoyao/superCleanMaster,1452,0
HeZaiJin/SlantedTextView,1452,0
ltsopensource/light-task-scheduler,1448,0
javaparser/javaparser,1447,2301
afollestad/aesthetic,1447,146
ZhaoKaiQiang/KLog,1447,0
UFreedom/FloatingView,1446,45
MiCode/Notes,1446,0
gongwen/MarqueeViewLibrary,1445,0
xmuSistone/VerticalSlideFragment,1444,0
commonsguy/cw-advandroid,1444,0
twitter/commons,1443,1365
Muddz/StyleableToast,1442,0
TonicArtos/StickyGridHeaders,1441,0
armcha/Space-Navigation-View,1441,0
jitsi/jitsi,1441,0
Red5/red5-server,1441,178
BaronZ88/MinimalistWeather,1441,0
seven332/EhViewer,1435,0
hidroh/materialistic,1435,2222
parse-community/Parse-SDK-Android,1431,765
zhanglei-workspace/shopping-management-system,1430,0
oldmanpushcart/greys-anatomy,1429,0
btraceio/btrace,1429,460
ImmortalZ/StereoView,1425,0
Azoft/CarouselLayoutManager,1423,0
auth0/java-jwt,1421,172
kikoso/Swipeable-Cards,1421,20
DreaminginCodeZH/MaterialProgressBar,1419,0
dersoncheng/MultipleTheme,1419,0
luojilab/DDComponentForAndroid,1419,0
nekocode/CameraFilter,1419,0
siyamed/android-satellite-menu,1417,0
dodola/MetaballLoading,1417,0
code4craft/netty-learning,1416,0
pilgr/Paper,1415,210
mmin18/FlexLayout,1413,0
tdebatty/java-string-similarity,1410,130
graphhopper/graphhopper,1410,3731
EverythingMe/overscroll-decor,1408,0
igniterealtime/Openfire,1408,2700
card-io/card.io-Android-SDK,1407,60
akexorcist/Android-RoundCornerProgressBar,1405,127
hussien89aa/AndroidTutorialForBeginners,1403,0
geometer/FBReaderJ,1401,0
mpusher/mpush,1401,0
Jungerr/GridPasswordView,1400,0
stephentuso/welcome-android,1399,212
traex/ExpandableLayout,1399,0
majidgolshadi/Android-Download-Manager-Pro,1396,0
Cutta/GifView,1396,0
brianway/webporter,1395,0
plattysoft/Leonids,1393,0
Polidea/RxAndroidBle,1392,953
zeromq/jeromq,1389,486
medyo/android-about-page,1387,0
Cleveroad/AdaptiveTableLayout,1386,0
johannilsson/android-actionbar,1384,0
gchq/Gaffer,1382,7087
gitblit/gitblit,1375,42
romainguy/road-trip,1373,0
sqlcipher/android-database-sqlcipher,1372,0
JZ-Darkal/AndroidHttpCapture,1371,0
nex3z/FlowLayout,1371,0
keklikhasan/LDrawer,1370,0
gowong/material-sheet-fab,1370,0
gouthampradhan/leetcode,1369,0
fabric8io/fabric8,1367,0
markushi/android-circlebutton,1367,0
syncany/syncany,1367,1160
maoruibin/TranslateApp,1367,73
johnkil/Android-AppMsg,1366,0
Ramotion/expanding-collection-android,1365,0
friendlyrobotnyc/TinyDancer,1365,79
flavienlaurent/discrollview,1365,0
liuling07/SimpleNews,1364,0
psal/anonymouth,1362,0
apache/ignite,1361,0
daCapricorn/ArcMenu,1360,0
liaoinstan/SpringView,1358,0
jOOQ/jOOR,1358,114
elvishew/xLog,1357,102
floragunncom/search-guard,1356,3751
harjot-oberai/MaterialShadows,1356,0
